file_name,type,size,format,description,location,priority,status,midjourney_prompt
home-icon,icon,24x24,svg,首页导航图标,底部导航栏,P0,temp,"minimalist home icon with simple lines, flat design, blue color scheme, tech style"
profile-avatar,illustration,120x120,png,默认用户头像,个人资料页,P1,pending,"abstract user avatar, geometric shapes, modern design, soft colors, professional look"
welcome-banner,photo,750x350,webp,欢迎页横幅图片,欢迎页,P1,pending,"futuristic tech interface with glowing elements, dark background with blue accents, abstract digital landscape"
settings-icon,icon,24x24,svg,设置图标,设置页面,P0,temp,"minimalist settings gear icon, simple lines, flat design, blue color scheme"
notification-icon,icon,24x24,svg,通知图标,顶部导航栏,P0,temp,"clean notification bell icon, minimal design, outline style, tech aesthetic"
empty-state,illustration,200x200,svg,空数据状态插图,列表页面,P1,pending,"abstract empty state illustration, geometric shapes, soft colors, minimalist design"
loading-animation,animation,100x100,svg,加载动画,全局组件,P0,temp,"simple loading spinner animation, circular design, blue gradient, clean look"
success-icon,icon,32x32,svg,成功状态图标,表单提交后,P1,temp,"checkmark icon, success indicator, green color, simple design"
error-icon,icon,32x32,svg,错误状态图标,表单提交后,P1,temp,"error indicator icon, red color, simple design, alert symbol"
login-background,photo,1080x1920,webp,登录页背景,登录页面,P2,pending,"abstract tech background with subtle grid pattern, dark blue gradient, professional look"
